No	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X
115	0.513025	0.65965	0.41185	0.267594	0.196263	0.558253	0.509745	0.310942	0.479415	0.35231	0.63443	0.670852	0.217969	0.241644	0.590463	0.214403	0.226647	0.5163	0.550801	0.357148	0.6193	0.641738	0.598093	0.489201
116	0.526238	0.641738	0.434006	0.267594	0.183505	0.537895	0.512588	0.264186	0.501131	0.528474	0.658703	0.676599	0.226647	0.121045	0.625551	0.217969	0.281341	0.455548	0.548453	0.266385	0.62287	0.711089	0.668132	0.463478
117	0.533426	0.711089	0.444077	0.267594	0.171397	0.512825	0.500882	0.303071	0.460405	0.513464	0.64902	0.643543	0.281341	0.170882	0.615742	0.226647	0.310942	0.466357	0.536266	0.227278	0.639403	0.702313	0.660166	0.451821
118	0.572408	0.702313	0.432443	0.267594	0.172724	0.453907	0.500784	0.284201	0.759002	0.450345	0.662482	0.668165	0.310942	0.133862	0.644388	0.281341	0.264186	0.422549	0.583789	0.177055	0.642117	0.703705	0.649627	0.409656
119	0.544212	0.703705	0.422372	0.267594	0.190159	0.479003	0.509724	0.308016	0.528032	0.66284	0.666301	0.658342	0.264186	0.172968	0.662852	0.310942	0.303071	0.437854	0.56711	0.196636	0.615238	0.776302	0.697519	0.415388
120	0.545327	0.776302	0.414146	0.267594	0.172812	0.443834	0.514459	0.224999	0.496756	0.711706	0.683986	0.671998	0.303071	0.161465	0.661363	0.264186	0.284201	0.401571	0.578969	0.191567	0.625361	0.822385	0.746765	0.409852
121	0.508653	0.822385	0.394898	0.267594	0.173709	0.36255	0.50659	0.219281	0.521238	0.643432	0.686889	0.675871	0.284201	0.161225	0.659638	0.303071	0.308016	0.364255	0.588639	0.172702	0.632375	0.752584	0.687087	0.415098
122	0.489201	0.752584	0.370389	0.113356	0.164796	0.31677	0.522643	0.228396	0.55936	0.542825	0.658137	0.693811	0.308016	0.177707	0.63204	0.284201	0.224999	0.254429	0.587075	0.183969	0.663882	0.717817	0.663189	0.400234
123	0.463478	0.717817	0.391764	0	0.164995	0.299256	0.513025	0.243668	0.550068	0.498308	0.668965	0.696756	0.224999	0.226145	0.645694	0.308016	0.219281	0.248033	0.588122	0.231987	0.645855	0.735441	0.680694	0.398485
124	0.451821	0.735441	0.409328	0	0.154591	0.307102	0.526238	0.261227	0.590126	0.495525	0.676468	0.66759	0.219281	0.0675984	0.6421	0.224999	0.228396	0.240026	0.594758	0.241644	0.71565	0.728763	0.638248	0.384279
125	0.409656	0.728763	0.428463	0	0.160095	0.391582	0.533426	0.213899	0.510621	0.40374	0.710172	0.678575	0.228396	0.109718	0.671474	0.219281	0.243668	0.32716	0.610648	0.121045	0.706818	0.758422	0.693923	0.393456
126	0.415388	0.758422	0.447099	0	0.153711	0.479805	0.572408	0.24471	0.609525	0.523291	0.690888	0.686185	0.243668	0.0739509	0.653209	0.228396	0.261227	0.458054	0.609065	0.170882	0.708219	0.755694	0.690556	0.399699
127	0.409852	0.755694	0.452134	0.00177829	0.173862	0.46826	0.544212	0.20919	0.531374	0.510356	0.76555	0.720373	0.261227	0.0523094	0.729704	0.243668	0.213899	0.448436	0.663953	0.133862	0.781282	0.746591	0.674893	0.399433
128	0.415098	0.746591	0.452134	0	0.17547	0.444283	0.545327	0.257963	0.49515	0.510356	0.756103	0.700812	0.213899	0.0228304	0.721004	0.261227	0.24471	0.444106	0.665437	0.172968	0.82766	0.757459	0.674257	0.401399
129	0.400234	0.757459	0.423323	0	0.161106	0.496887	0.508653	0.19698	0.507697	0.510356	0.7576	0.776547	0.24471	0.109808	0.709493	0.213899	0.20919	0.509773	0.666246	0.161465	0.757412	0.755396	0.68349	0.402857
130	0.398485	0.755396	0.41185	0	0.157988	0.50372	0.489201	0.212251	0.557001	0.510356	0.835758	0.766963	0.20919	0.116427	0.761799	0.24471	0.257963	0.441111	0.654266	0.161225	0.722421	0.754528	0.692128	0.423453
131	0.384279	0.754528	0.439541	0	0.141495	0.504742	0.463478	0.231592	0.49217	0.510356	0.88537	0.768483	0.257963	0.129299	0.815582	0.20919	0.19698	0.483301	0.659478	0.177707	0.740159	0.757173	0.680116	0.407715
132	0.393456	0.757173	0.446599	0	0.167463	0.589275	0.451821	0.27421	0.492525	0.510356	0.810223	0.847763	0.19698	0.139764	0.750405	0.257963	0.212251	0.550345	0.633656	0.226145	0.733437	0.78434	0.697152	0.436883
133	0.399699	0.78434	0.444077	0	0.145263	0.556888	0.409656	0.210047	0.455181	0.510356	0.772793	0.898087	0.212251	0.12796	0.724305	0.19698	0.231592	0.507109	0.641752	0.0675984	0.763287	0.783158	0.701939	0.592665
134	0.399433	0.783158	0.454656	0	0.133876	0.479461	0.415388	0.235629	0.468961	0.510356	0.791768	0.821862	0.231592	0.021341	0.743422	0.212251	0.27421	0.416642	0.659706	0.109718	0.760541	0.782669	0.712225	0.45153
135	0.401399	0.782669	0.436021	0	0.135823	0.467776	0.409852	0.283393	0.418742	0.218535	0.784577	0.783894	0.27421	0.0823551	0.697065	0.231592	0.210047	0.422226	0.608711	0.0739509	0.75138	0.804052	0.75795	0.380998
136	0.402857	0.804052	0.430316	0	0.147689	0.488865	0.415098	0.216623	0.464589	0.00717548	0.816509	0.803141	0.210047	0.0666755	0.757871	0.27421	0.235629	0.342988	0.673245	0.0523094	0.762317	0.813425	0.75981	0.380998
137	0.423453	0.813425	0.433499	0	0.1644	0.604949	0.400234	0.204716	0.41878	0.00667717	0.813571	0.795847	0.235629	0.0341576	0.754194	0.210047	0.283393	0.480519	0.680026	0.0228304	0.760242	0.850129	0.765219	0.373787
138	0.407715	0.850129	0.424942	0	0.178942	0.605909	0.398485	0.24757	0.499644	0.00702601	0.803772	0.828237	0.283393	0.0666455	0.737088	0.235629	0.216623	0.520637	0.665398	0.109808	0.759369	0.86298	0.76917	0.370506
139	0.436883	0.86298	0.43652	0	0.16076	0.603179	0.384279	0.218305	0.451731	0.00323893	0.815471	0.825257	0.216623	0.12957	0.736392	0.283393	0.204716	0.500368	0.690031	0.116427	0.76203	0.853177	0.75784	0.379687
140	0.592665	0.853177	0.455156	0	0.203592	0.587294	0.393456	0.185879	0.437196	0	0.813251	0.815317	0.204716	0.184802	0.746477	0.216623	0.24757	0.455383	0.663277	0.129299	0.789372	0.803142	0.75438	0.392487
141	0.45153	0.803142	0.493426	0.00836232	0.157354	0.542306	0.399699	0.191631	0.410979	0	0.812317	0.827185	0.24757	0.0814623	0.755911	0.204716	0.218305	0.361446	0.647839	0.139764	0.788182	0.760204	0.715721	0.380998
142	0.380998	0.760204	0.508532	0	0.194508	0.624356	0.399433	0.219483	0.406656	0	0.815164	0.824933	0.218305	0.160869	0.742791	0.24757	0.185879	0.478523	0.662093	0.12796	0.787689	0.811097	0.72108	0.380998
143	0.380998	0.811097	0.53114	0	0.262472	0.617778	0.401399	0.349255	0.475391	0.215783	0.844412	0.823985	0.185879	0.235356	0.761397	0.218305	0.191631	0.472994	0.689078	0.021341	0.80921	0.795552	0.705738	0.388213
144	0.373787	0.795552	0.54764	0	0.195163	0.635337	0.402857	0.525952	0.401924	0.486381	0.843139	0.826873	0.191631	0.267814	0.766626	0.185879	0.219483	0.460402	0.70939	0.0823551	0.818643	0.822212	0.730464	0.384132
145	0.370506	0.822212	0.532703	0.182934	0.158227	0.553067	0.423453	0.200578	0.358792	0.563619	0.842612	0.856541	0.219483	0.0627739	0.777859	0.191631	0.349255	0.446453	0.699543	0.0666755	0.855583	0.837278	0.75014	0.38623
146	0.379687	0.837278	0.54076	0.300523	0.176613	0.665733	0.407715	0.221938	0.375801	0.491244	0.865633	0.85525	0.349255	0.0321917	0.827798	0.219483	0.525952	0.556369	0.715816	0.0341576	0.868516	0.853666	0.759395	0.579294
147	0.392487	0.853666	0.532703	0.325229	0.161309	0.657386	0.436883	0.205288	0.389282	0.386646	0.875724	0.854716	0.525952	0.0311187	0.829829	0.349255	0.200578	0.496134	0.754938	0.0666455	0.85865	0.865047	0.765987	0.866277
148	0.380998	0.865047	0.537964	0.282161	0.15724	0.655043	0.592665	0.249083	0.452255	0.451678	0.915239	0.878067	0.200578	0.0206242	0.835737	0.525952	0.221938	0.510193	0.751982	0.12957	0.808294	0.871453	0.788195	1
149	0.380998	0.871453	0.516589	0.312972	0.18495	0.701404	0.45153	0.177134	0.511783	0.398642	0.929075	0.888303	0.221938	0.0430082	0.840053	0.200578	0.205288	0.55038	0.718438	0.184802	0.765081	0.867636	0.769408	0.614887
150	0.388213	0.867636	0.458515	0.32115	0.164218	0.673896	0.380998	0.219718	0.448417	0.475452	0.918521	0.928386	0.205288	0.160718	0.827679	0.221938	0.249083	0.492995	0.710864	0.0814623	0.8163	0.863818	0.771023	0.58013
151	0.384132	0.863818	0.587755	0.296134	0.138499	0.592471	0.380998	0.280198	0.474084	0.603715	0.864654	0.94242	0.249083	0.1051	0.823899	0.205288	0.177134	0.429579	0.69284	0.160869	0.800655	0.832025	0.761201	0.566361
152	0.38623	0.832025	0.586079	0.319557	0.157019	0.609378	0.373787	0.283931	0.420937	0.531732	0.818427	0.931715	0.177134	0.133591	0.781677	0.249083	0.219718	0.464189	0.705395	0.235356	0.827487	0.835786	0.78129	0.560898
153	0.579294	0.835786	0.586587	0.15403	0.146579	0.697627	0.370506	0.188839	0.52977	0.478407	0.873218	0.877074	0.219718	0.126887	0.78753	0.177134	0.280198	0.468175	0.716325	0.267814	0.842649	0.835469	0.760871	0.554777
154	0.866277	0.835469	0.589101	0.230111	0.159508	0.581905	0.379687	0.198527	0.478009	0.413133	0.856482	0.830183	0.280198	0.0396731	0.770775	0.219718	0.283931	0.406335	0.698286	0.0627739	0.859142	0.843974	0.776375	0.564902
155	1	0.843974	0.62866	0.0891169	0.143403	0.579571	0.392487	0.215077	0.455983	0.636305	0.885185	0.885761	0.283931	0.00885058	0.797779	0.280198	0.188839	0.369488	0.719268	0.0321917	0.870597	0.855077	0.775416	0.55412
156	0.614887	0.855077	0.656915	0	0.159098	0.564963	0.380998	0.200545	0.429926	0.543804	0.901404	0.868785	0.188839	0.0569579	0.819269	0.283931	0.198527	0.374596	0.729621	0.0311187	0.877043	0.852826	0.76418	0.548874
157	0.58013	0.852826	0.644661	0	0.165011	0.587065	0.380998	0.205422	0.481998	0.560536	0.919048	0.897899	0.198527	0.0930256	0.829377	0.188839	0.215077	0.339394	0.738205	0.0206242	0.873201	0.827399	0.743025	0.536853
158	0.566361	0.827399	0.632906	0	0.14922	0.513926	0.388213	0.209796	0.444734	0.520111	0.9313	0.914352	0.215077	0.106143	0.836576	0.198527	0.200545	0.274766	0.754538	0.0430082	0.86936	0.800362	0.727871	0.512151
159	0.560898	0.800362	0.613271	0	0.142723	0.484419	0.384132	0.239262	0.407926	0.562204	0.938197	0.932249	0.200545	0.0799385	0.86083	0.215077	0.205422	0.319814	0.756995	0.160718	0.837362	0.79783	0.726002	0.508653
160	0.554777	0.79783	0.613271	0	0.134024	0.511293	0.38623	0.366309	0.510111	0.495409	0.934087	0.944678	0.205422	0	0.840312	0.200545	0.209796	0.335256	0.754254	0.1051	0.841147	0.785879	0.722086	0.501221
161	0.564902	0.785879	0.635879	0	0.130339	0.561432	0.579294	0.312405	0.444785	0.471633	0.929977	0.951673	0.209796	0.00777753	0.842076	0.205422	0.239262	0.352331	0.743272	0.133591	0.840828	0.822884	0.750079	0.496196
162	0.55412	0.822884	0.656915	0	0.135741	0.672892	0.866277	0.407581	0.383339	0.551062	0.895749	0.947504	0.239262	0.0496268	0.831349	0.209796	0.366309	0.389805	0.726433	0.126887	0.849388	0.822348	0.728829	0.489201
163	0.548874	0.822348	0.646844	0	0.147867	0.697213	1	0.256113	0.432003	0.493751	0.899798	0.943335	0.366309	0.0273587	0.85329	0.239262	0.312405	0.325253	0.731055	0.0396731	0.860562	0.819671	0.732574	0.50297
164	0.536853	0.819671	0.605214	0	0.196792	0.715652	0.614887	0.249387	0.402787	0.459959	0.899456	0.908616	0.312405	0.144863	0.830989	0.366309	0.407581	0.341418	0.727754	0.00885058	0.858296	0.775538	0.707729	0.49401
165	0.512151	0.775538	0.616631	0	0.1427	0.607168	0.58013	0.412896	0.425763	0.48041	0.908613	0.912723	0.407581	0.131179	0.847921	0.312405	0.256113	0.452657	0.744492	0.0569579	0.832707	0.769653	0.703814	0.458599
166	0.508653	0.769653	0.632406	0	0.151238	0.480729	0.566361	0.492112	0.371805	0.522976	0.920567	0.912376	0.256113	0.169539	0.846874	0.407581	0.249387	0.520623	0.738413	0.0930256	0.805496	0.765084	0.701735	0.450236
167	0.501221	0.765084	0.64852	0	0.26548	0.531238	0.560898	0.319722	0.421577	0.501968	0.918142	0.921664	0.249387	0.181879	0.834602	0.256113	0.412896	0.474385	0.730656	0.106143	0.802948	0.757547	0.706756	0.451572
168	0.496196	0.757547	0.64802	0	0.152431	0.52525	0.554777	0.422516	0.453626	0.398568	0.890768	0.93379	0.412896	0.18054	0.811498	0.249387	0.492112	0.497855	0.72483	0.0799385	0.79092	0.781351	0.713454	0.455755
169	0.489201	0.781351	0.628885	0	0.174972	0.53911	0.564902	0.399408	0.404229	0.494424	0.861661	0.931331	0.492112	0.199589	0.794948	0.412896	0.319722	0.470688	0.702698	0	0.828162	0.815615	0.735317	0.460564
170	0.50297	0.815615	0.615785	0	0.161827	0.555206	0.55412	0.224663	0.37422	0.483113	0.858935	0.903564	0.319722	0.159886	0.792906	0.492112	0.422516	0.490564	0.706311	0.00777753	0.827623	0.841732	0.770491	0.447012
171	0.49401	0.841732	0.60656	0	0.313358	0.535288	0.548874	0.206465	0.364544	0.476524	0.846069	0.874038	0.422516	0.214341	0.788629	0.319722	0.399408	0.459314	0.707613	0.0496268	0.824929	0.852167	0.756303	0.435645
172	0.458599	0.852167	0.597665	0	0.179295	0.645507	0.536853	0.208013	0.343027	0.421155	0.885907	0.871273	0.399408	0.226415	0.819202	0.422516	0.224663	0.595097	0.723841	0.0273587	0.780513	0.844869	0.742038	0.443952
173	0.450236	0.844869	0.591622	0	0.275294	0.828917	0.512151	0.415554	0.368736	0.419663	0.88533	0.858222	0.224663	0.310916	0.795994	0.399408	0.206465	0.749007	0.721387	0.144863	0.77459	0.836128	0.746263	0.461292
174	0.451572	0.836128	0.594644	0	0.163227	0.847391	0.508653	0.266641	0.396016	0.413902	0.882448	0.898632	0.206465	0.286236	0.800084	0.224663	0.208013	0.702954	0.708456	0.131179	0.769991	0.82765	0.72714	0.460781
175	0.455755	0.82765	0.597158	0	0.174787	0.860256	0.501221	0.228867	0.468669	0.512649	0.834935	0.898047	0.208013	0.20334	0.772949	0.206465	0.415554	0.780519	0.701411	0.169539	0.762406	0.829331	0.73213	0.458525
176	0.460564	0.829331	0.602701	0	0.29986	0.792471	0.496196	0.228026	0.383087	0.402405	0.8286	0.895124	0.415554	0.209826	0.768673	0.208013	0.266641	0.801442	0.693084	0.181879	0.786364	0.827436	0.748993	0.456728
177	0.447012	0.827436	0.605214	0	0.196616	0.840232	0.489201	0.192203	0.413437	0.491583	0.82368	0.846928	0.266641	0.176784	0.766403	0.415554	0.228867	0.690004	0.694573	0.18054	0.820847	0.81519	0.716702	0.458599
178	0.435645	0.81519	0.605214	0	0.179623	0.777819	0.50297	0.229137	0.47009	0.507612	0.815566	0.840502	0.228867	0.175445	0.771887	0.266641	0.228026	0.67222	0.699221	0.199589	0.847132	0.806232	0.74934	0.450729
179	0.443952	0.806232	0.616293	0	0.170505	0.809034	0.49401	0.234922	0.418458	0.513779	0.841194	0.835512	0.228026	0.191	0.779202	0.228867	0.192203	0.727664	0.714475	0.159886	0.857633	0.835287	0.768693	0.443416
180	0.461292	0.835287	0.615785	0	0.169237	0.833875	0.458599	0.222712	0.501495	0.50878	0.878082	0.827281	0.192203	0.123934	0.80308	0.228026	0.229137	0.72648	0.750696	0.214341	0.850288	0.828284	0.761291	0.441328
181	0.460781	0.828284	0.629884	0	0.15411	0.831638	0.450236	0.239262	0.43768	0.508475	0.906199	0.853277	0.229137	0.0643835	0.841495	0.192203	0.234922	0.734356	0.77473	0.226415	0.841491	0.810087	0.750019	0.455755
182	0.458525	0.810087	0.626364	0	0.156319	0.817003	0.451572	0.200512	0.666103	0.51821	0.917433	0.890695	0.234922	0.181879	0.826	0.229137	0.222712	0.664489	0.760122	0.310916	0.832959	0.77321	0.71968	0.448421
183	0.456728	0.77321	0.649019	0	0.133262	0.795993	0.455755	0.202428	0.473994	0.576482	0.909576	0.919216	0.222712	0.201585	0.81042	0.234922	0.239262	0.745888	0.740635	0.286236	0.834651	0.788942	0.730519	0.41522
184	0.458599	0.788942	0.661612	0	0.179683	0.819821	0.460564	0.207709	0.501338	0.637517	0.900166	0.930611	0.239262	0.22266	0.815035	0.222712	0.200512	0.695973	0.731782	0.20334	0.832744	0.808336	0.756287	0.415972
185	0.450729	0.808336	0.661612	0	0.155541	0.78496	0.447012	0.216254	0.442165	0.593756	0.891038	0.922641	0.200512	0.162178	0.794149	0.239262	0.202428	0.717344	0.718564	0.209826	0.820419	0.832062	0.78742	0.423184
186	0.443416	0.832062	0.667155	0	0.154021	0.808779	0.435645	0.253422	0.399866	0.585616	0.892848	0.913096	0.202428	0.107812	0.799598	0.200512	0.207709	0.724965	0.713024	0.176784	0.811404	0.833299	0.788605	0.411454
187	0.441328	0.833299	0.669669	0	0.160184	0.812407	0.443952	0.228229	0.46762	0.535848	0.890808	0.903837	0.207709	0.0815524	0.818016	0.202428	0.216254	0.772629	0.70704	0.175445	0.840645	0.833299	0.788605	0.412986
188	0.455755	0.833299	0.691826	0	0.14651	0.730111	0.461292	0.223183	0.551549	0.474108	0.877624	0.905673	0.216254	0.0847716	0.782749	0.207709	0.253422	0.655869	0.709744	0.191	0.833597	0.833299	0.788605	0.412401
189	0.448421	0.833299	0.701897	0	0.152591	0.693383	0.460781	0.223485	0.488447	0.519936	0.867981	0.903604	0.253422	0.156636	0.818395	0.216254	0.228229	0.674754	0.706314	0.123934	0.815283	0.833299	0.788605	0.401206
190	0.41522	0.833299	0.696249	0	0.158916	0.655554	0.458525	0.218406	0.474008	0.63631	0.899261	0.89023	0.228229	0.132312	0.839531	0.253422	0.223183	0.580521	0.722845	0.0643835	0.77817	0.833299	0.788605	0.418718
191	0.415972	0.833299	0.69384	0	0.179689	0.616898	0.456728	0.233677	0.471562	0.545986	0.891721	0.880448	0.223183	0.145936	0.831448	0.228229	0.223485	0.576397	0.704007	0.181879	0.794003	0.833299	0.788605	0.432368
192	0.423184	0.833299	0.688023	0	0.178391	0.626469	0.458599	0.20152	0.474251	0.573602	0.87213	0.912178	0.223485	0.200181	0.819137	0.223183	0.218406	0.566063	0.696444	0.201585	0.813522	0.833299	0.788605	0.403948
193	0.411454	0.833299	0.685783	0	0.153769	0.61895	0.450729	0.226782	0.429886	0.523262	0.832429	0.90453	0.218406	0.0353809	0.786002	0.223485	0.233677	0.576397	0.711515	0.22266	0.8374	0.833299	0.788605	0.398485
194	0.412986	0.833299	0.68024	0	0.171964	0.665425	0.443416	0.235797	0.349711	0.521051	0.849366	0.884657	0.233677	0.0123359	0.79784	0.218406	0.20152	0.632006	0.705999	0.162178	0.838644	0.814536	0.768796	0.407666
195	0.412401	0.814536	0.666648	0	0.162013	0.624145	0.441328	0.222745	0.476567	0.449355	0.870246	0.844386	0.20152	0.0705514	0.825982	0.233677	0.226782	0.586201	0.713321	0.107812	0.838644	0.740667	0.699233	0.403294
196	0.401206	0.740667	0.655852	0	0.152412	0.583164	0.455755	0.233172	0.405769	0.508368	0.895789	0.861566	0.226782	0.181553	0.859984	0.20152	0.235797	0.572948	0.715427	0.0815524	0.838644	0.680901	0.627008	0.385954
197	0.418718	0.680901	0.659316	0	0.170704	0.527988	0.448421	0.271419	0.424074	0.410659	0.89712	0.882746	0.235797	0.158332	0.861279	0.226782	0.222745	0.523887	0.716402	0.0847716	0.838644	0.757296	0.709208	0.366498
198	0.432368	0.757296	0.672691	0	0.1489	0.477515	0.41522	0.14131	0.451155	0.514133	0.89712	0.908656	0.222745	0.148644	0.861279	0.235797	0.233172	0.619662	0.716402	0.156636	0.838644	0.747454	0.696686	0.363511
199	0.403948	0.747454	0.677726	0	0.184958	0.521041	0.415972	0.211174	0.398989	0.522389	0.89712	0.910006	0.233172	0.131149	0.861279	0.222745	0.271419	0.554889	0.716402	0.132312	0.838644	0.719564	0.693786	0.351491
200	0.398485	0.719564	0.695185	0	0.12461	0.527451	0.423184	0.223015	0.403081	0.53627	0.89712	0.910006	0.271419	0.165873	0.861279	0.233172	0.14131	0.518586	0.716402	0.145936	0.838644	0.729254	0.680336	0.346024
201	0.407666	0.729254	0.690818	0	0.141025	0.592894	0.411454	0.230684	0.44325	0.419719	0.89712	0.910006	0.14131	0.173028	0.861279	0.271419	0.211174	0.599579	0.716402	0.200181	0.838644	0.74062	0.704307	0.349301
202	0.403294	0.74062	0.663627	0	0.158782	0.68868	0.412986	0.162233	0.497789	0.51311	0.89712	0.910006	0.211174	0.113203	0.861279	0.14131	0.223015	0.589403	0.716402	0.0353809	0.819761	0.703186	0.663079	0.36028
203	0.385954	0.703186	0.670845	0	0.17199	0.690186	0.412401	0.17192	0.503335	0.513153	0.89712	0.910006	0.223015	0.223192	0.861279	0.211174	0.230684	0.498957	0.716402	0.0123359	0.745418	0.659242	0.619401	0.376627
204	0.366498	0.659242	0.677726	0	0.162917	0.60251	0.401206	0.307679	0.414732	0.51934	0.89712	0.910006	0.230684	0.229991	0.861279	0.223015	0.162233	0.495446	0.716402	0.0705514	0.685269	0.75386	0.715225	0.360231
205	0.363511	0.75386	0.689255	0	0.155942	0.585577	0.418718	0.311177	0.475636	0.511112	0.87692	0.910006	0.162233	0.264058	0.839644	0.230684	0.17192	0.548046	0.706627	0.181553	0.762154	0.809089	0.752243	0.352362
206	0.351491	0.809089	0.699657	0	0.177069	0.649381	0.432368	0.336304	0.447831	0.519577	0.797394	0.910006	0.17192	0.235923	0.76367	0.162233	0.307679	0.484836	0.682972	0.158332	0.752249	0.621823	0.587602	0.357608
207	0.346024	0.621823	0.701897	0	0.14676	0.648774	0.403948	0.33321	0.415737	0.531751	0.73305	0.889516	0.307679	0.177291	0.68479	0.17192	0.311177	0.493607	0.611792	0.148644	0.72418	0.699034	0.656543	0.334221
208	0.349301	0.699034	0.685275	0	0.176223	0.612116	0.398485	0.343167	0.474011	0.523286	0.815297	0.808848	0.311177	0.149421	0.774565	0.307679	0.336304	0.511742	0.720865	0.131149	0.733932	0.719319	0.67426	0.327128
209	0.36028	0.719319	0.694339	0	0.15926	0.660688	0.407666	0.35975	0.387676	0.492854	0.8047	0.74358	0.336304	0.15452	0.760888	0.311177	0.33321	0.591936	0.684843	0.165873	0.745371	0.773947	0.782351	0.339246
210	0.376627	0.773947	0.701897	0	0.183772	0.759741	0.403294	0.26264	0.50579	0.493683	0.774675	0.827008	0.33321	0.229454	0.757721	0.336304	0.343167	0.664317	0.729255	0.173028	0.707697	0.719542	0.719446	0.361763
211	0.360231	0.719542	0.690367	0	0.174932	0.777986	0.385954	0.190723	0.329609	0.534719	0.785107	0.816259	0.343167	0.202091	0.743032	0.33321	0.35975	0.613892	0.706123	0.113203	0.663471	0.766691	0.755104	0.371891
212	0.352362	0.766691	0.691487	0	0.201312	0.78039	0.366498	0.215413	0.380905	0.456215	0.797344	0.785802	0.35975	0.175145	0.769212	0.343167	0.26264	0.638781	0.70428	0.223192	0.758696	0.807491	0.805011	0.432368
213	0.357608	0.807491	0.69384	0	0.104873	0.75068	0.363511	0.2251	0.434724	0.433311	0.757042	0.796384	0.26264	0.241258	0.724185	0.35975	0.190723	0.510455	0.695997	0.229991	0.814279	0.823473	0.81397	0.478705
214	0.334221	0.823473	0.695354	0	0.14115	0.605741	0.351491	0.197719	0.464549	0.445705	0.709733	0.808797	0.190723	0.263882	0.676482	0.26264	0.215413	0.474055	0.629034	0.264058	0.625811	0.762657	0.742431	0.434334
215	0.327128	0.762657	0.701897	0	0.223288	0.67851	0.346024	0.208281	0.443443	0.546199	0.811597	0.767916	0.215413	0.199855	0.781136	0.190723	0.2251	0.558607	0.711527	0.235923	0.703518	0.68327	0.743005	0.412475
216	0.339246	0.68327	0.712975	0	0.422093	0.837934	0.349301	0.215043	0.420582	0.522845	0.871056	0.719928	0.2251	0.183223	0.821565	0.215413	0.197719	0.566669	0.786636	0.177291	0.723933	0.728131	0.752949	0.364022
217	0.361763	0.728131	0.714989	0	0.428858	0.828838	0.36028	0.207542	0.482939	0.514938	0.669447	0.823255	0.197719	0.182952	0.641752	0.2251	0.208281	0.588033	0.641454	0.149421	0.778912	0.66742	0.657285	0.357055
218	0.371891	0.66742	0.701897	0	0.288761	0.758033	0.376627	0.271149	0.38841	0.506749	0.752572	0.883568	0.208281	0.114813	0.717047	0.197719	0.215043	0.474915	0.675001	0.15452	0.724158	0.632894	0.62501	0.37151
219	0.432368	0.632894	0.701897	0	0.442043	0.713001	0.360231	0.248478	0.298902	0.433123	0.77441	0.679063	0.215043	0.294284	0.736396	0.208281	0.207542	0.496224	0.732604	0.229454	0.771609	0.627452	0.634902	0.386244
220	0.478705	0.627452	0.719517	0	0.490936	0.820992	0.352362	0.277338	0.1892	0.493843	0.833223	0.763382	0.207542	0.2857	0.854448	0.215043	0.271149	0.552672	0.778484	0.202091	0.812671	0.759246	0.765299	0.367205
221	0.434334	0.759246	0.728307	0	0.151568	0.794822	0.357608	0.210804	0.515028	0.508868	0.774651	0.785534	0.271149	0.266385	0.785746	0.207542	0.248478	0.598119	0.814085	0.175145	0.828756	0.733802	0.710156	0.405018
222	0.412475	0.733802	0.726067	0	0.148332	0.760164	0.334221	0.21807	0.481029	0.522535	0.825411	0.845192	0.248478	0.245846	0.82469	0.271149	0.277338	0.457786	0.755377	0.241258	0.76755	0.711261	0.692349	0.379858
223	0.364022	0.711261	0.712475	0.0315211	0.321997	0.705499	0.327128	0.269871	0.601389	0.614711	0.869335	0.785778	0.277338	0.293211	0.879196	0.248478	0.210804	0.590174	0.866395	0.263882	0.687653	0.854623	0.854214	0.428528
224	0.357055	0.854623	0.71801	0.104747	0.451237	0.921191	0.339246	0.309496	0.297933	0.582528	0.886542	0.837267	0.210804	0.317891	0.888981	0.277338	0.21807	0.796085	0.875391	0.199855	0.732802	0.694691	0.695269	0.549262
225	0.37151	0.694691	0.743244	0.177421	0.449485	1	0.361763	0.292341	0.373322	0.534234	0.821068	0.881823	0.21807	0.120208	0.810849	0.210804	0.269871	0.772732	0.754357	0.183223	0.671702	0.624463	0.616775	0.524318
226	0.386244	0.624463	0.734632	0.157864	0.255721	0.938238	0.371891	0.255004	0.496646	0.41028	0.735601	0.899277	0.269871	0.106319	0.811476	0.21807	0.309496	0.705481	0.778827	0.182952	0.636954	0.82091	0.798236	0.515428
227	0.367205	0.82091	0.701897	0.159829	0.178973	0.956263	0.432368	0.3136	0.543527	0.468483	0.783897	0.832862	0.309496	0.252018	0.822336	0.269871	0.292341	0.732896	0.761612	0.114813	0.631477	0.85959	0.823811	0.460781
228	0.405018	0.85959	0.705756	0.179144	0.40144	0.865513	0.478705	0.314306	0.565242	0.525056	0.718537	0.746167	0.292341	0.357534	0.717857	0.309496	0.255004	0.676028	0.704593	0.294284	0.764116	0.915707	0.903353	0.429962
229	0.379858	0.915707	0.57791	0.113771	0.184803	0.709682	0.434334	0.287632	0.544717	0.60625	0.681366	0.795157	0.255004	0.355985	0.682607	0.292341	0.3136	0.667959	0.609167	0.2857	0.738509	0.885509	0.865337	0.453353
230	0.428528	0.885509	0.523131	0.113195	0.102136	0.716286	0.412475	0.346564	0.63065	0.63278	0.675507	0.728858	0.3136	0.240601	0.69341	0.255004	0.314306	0.639944	0.598596	0.266385	0.715823	0.851233	0.8261	0.45607
